# Reviewed-protein consensus per KO; generated by scripts/build_kegg_swissprot_consensus.py.
# Swiss-Prot 2026_03 (uniprot_sprot.dat.gz sha256 c87208822a56e8ae); KEGG gene links sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicate	agreeing	proteins
K00544	transferase	8	8
K00545	methyltransferase	15	15
K00545	transferase	15	15
K00546	methyltransferase	10	10
K00546	transferase	10	10
K00547	methyltransferase	18	18
K00547	transferase	18	18
K00548	methyltransferase	17	17
K00548	transferase	17	17
K00549	methyltransferase	286	286
K00549	transferase	286	286
K00551	methyltransferase	9	9
K00551	transferase	9	9
K00552	enzyme	5	5
K00552	methyltransferase	5	5
K00552	restriction_modification	5	5
K00552	sam_binding	5	5
K00552	transferase	5	5
K00554	methyltransferase	635	635
K00554	transferase	635	635
K00555	methyltransferase	60	60
K00555	transferase	60	60
K00556	methyltransferase	7	7
K00556	transferase	7	7
K00557	methyltransferase	184	184
K00557	transferase	184	184
K00558	dna_methylase	31	31
K00558	methyltransferase	31	31
K00558	transferase	31	31
K00559	methyltransferase	16	16
K00559	transferase	16	16
K00560	methyltransferase	413	413
K00560	transferase	413	413
K00561	methyltransferase	15	15
K00561	transferase	15	15
K00564	methyltransferase	140	141
K00564	transferase	140	141
K00565	methyltransferase	31	31
K00565	transferase	31	31
K00566	sulfurtransferase	717	717
K00566	transferase	717	717
K00567	methyltransferase	49	50
K00567	transferase	49	50
K00568	methyltransferase	240	240
K00568	transferase	240	240
K00569	methyltransferase	86	86
K00569	transferase	86	86
K00573	methyltransferase	326	326
K00573	transferase	326	326
K00575	methyltransferase	20	20
K00575	transferase	20	20
K00577	ion_transporter	20	23
K00577	translocase	20	23
K00577	transporter	20	23
K00578	ion_transporter	12	12
K00578	translocase	12	12
K00578	transporter	12	12
K00579	ion_transporter	11	11
K00579	translocase	11	11
K00579	transporter	11	11
K00580	ion_transporter	8	8
K00580	translocase	8	8
K00580	transporter	8	8
K00581	ion_transporter	13	13
K00581	translocase	13	13
K00581	transporter	13	13
K00582	ion_transporter	7	7
K00582	translocase	7	7
K00582	transporter	7	7
K00583	ion_transporter	8	8
K00583	translocase	8	8
K00583	transporter	8	8
K00586	methyltransferase	17	17
K00586	transferase	17	17
K00587	enzyme	9	11
K00587	methyltransferase	11	11
K00587	sam_binding	9	11
K00587	transferase	11	11
K00588	methyltransferase	10	10
K00588	transferase	10	10
K00591	methyltransferase	8	8
K00591	transferase	8	8
K00597	metal_binding	5	5
K00597	nad_binding	5	5
K00597	oxidoreductase	5	5
K00598	methyltransferase	88	88
K00598	transferase	88	88
K00599	methyltransferase	5	5
K00599	transferase	5	5
K00600	transferase	822	822
K00602	hydrolase	467	467
K00602	transferase	467	467
K00604	transferase	676	676
K00605	transferase	327	327
K00606	transferase	570	570
K00609	transferase	688	688
K00611	transferase	359	359
K00613	transferase	9	9
K00615	transferase	73	75
K00616	transferase	462	463
K00618	transferase	29	29
K00620	transferase	191	191
K00621	transferase	12	12
K00622	transferase	20	20
K00623	transferase	5	5
K00624	transferase	7	7
K00625	transferase	20	20
K00626	transferase	67	67
K00627	transferase	48	48
K00628	transferase	7	7
K00629	transferase	9	9
K00631	transferase	138	141
K00632	transferase	188	188
K00635	transferase	34	34
K00637	transferase	11	11
K00639	transferase	39	39
K00640	transferase	37	37
K00641	transferase	203	205
K00643	transferase	33	33
K00645	transferase	24	24
K00647	transferase	7	7
K00648	transferase	400	400
K00649	transferase	5	5
K00650	transferase	6	6
K00651	transferase	219	219
K00652	transferase	277	277
K00654	transferase	33	33
K00655	transferase	16	16
K00656	transferase	17	17
K00657	transferase	16	16
K00658	transferase	38	38
K00659	transferase	6	6
K00660	transferase	19	19
K00662	transferase	5	5
K00666	ligase	9	9
K00666	synthetase	9	9
K00667	dehydrogenase	7	8
K00667	nad_binding	7	8
K00667	oxidoreductase	7	8
K00667	transferase	8	8
K00668	dehydratase	8	9
K00668	hydrolase	8	9
K00668	lyase	8	9
K00668	nad_binding	8	9
K00668	oxidoreductase	8	9
K00668	transferase	9	9
K00669	transferase	10	10
K00670	transferase	8	8
K00671	transferase	27	27
K00673	transferase	53	53
K00674	transferase	318	318
K00677	transferase	261	261
K00681	hydrolase	15	16
K00681	peptidase	15	16
K00681	protease	15	16
K00681	transferase	16	16
K00683	transferase	11	12
K00684	transferase	302	302
K00685	transferase	8	8
K00686	transferase	19	19
K00688	glycosyltransferase	41	42
K00688	transferase	41	42
K00693	glycosyltransferase	16	16
K00693	transferase	16	16
K00694	glycosyltransferase	5	5
K00694	transferase	5	5
K00695	glycosyltransferase	22	22
K00695	transferase	22	22
K00696	glycosyltransferase	11	11
K00696	transferase	11	11
